date,ticker,close,volume,pct_1d,pct_5d,sma20,rsi14,quality,action,recommendation
2026-08-27,TYGO,1.11,529152,6.731,1.835,1.2855,38.3,watch,WATCH,Watch
2026-08-27,SITC,2.98,879844,-1.65,-1.325,3.122,36.51,watch,WATCH,Watch
2026-08-27,AISP,2.18,234953,2.347,7.389,2.0223,57.14,watch,WATCH,Watch
2026-08-27,NAGE,3.21,466361,-2.727,1.905,3.17,57.89,watch,WATCH,Watch
2026-08-27,AREC,2.54,1482885,-4.869,-1.167,2.5605,43.15,watch,WATCH,Watch
2026-08-27,GORO,3.79,1297921,6.461,26.333,2.787,77.39,watch,WATCH,Watch
2026-08-27,SPRO,1.21,537626,-0.82,0.0,1.2193,41.07,watch,WATCH,Watch
2026-08-27,VFF,2.86,916501,0.0,11.284,2.428,86.11,watch,WATCH,Watch
2026-08-27,ALTO,4.09,1290177,0.245,-2.153,4.364,38.46,watch,WATCH,Watch
2026-08-27,MDXG,4.51,1176708,2.036,4.884,4.292,57.52,watch,WATCH,Watch
2026-08-27,GDRX,3.51,1160490,-3.836,-1.404,3.5368,42.86,watch,WATCH,Watch
2026-08-27,ARKO,4.46,760398,-4.497,-2.832,5.422,25.21,watch,WATCH,Watch
2026-08-27,TBLA,3.77,2159245,1.072,2.446,4.0713,35.4,watch,WATCH,Watch
2026-08-27,HLLY,2.97,1207494,3.846,-2.303,3.0075,40.38,watch,WATCH,Watch
2026-08-27,CYH,2.93,716491,0.342,-1.678,2.945,44.62,watch,WATCH,Watch
2026-08-27,SABR,2.14,2947707,-1.835,2.885,2.1162,54.55,watch,WATCH,Watch
2026-08-27,AMPY,4.71,570430,2.838,-4.073,4.473,69.54,watch,WATCH,Watch
2026-08-27,ABUS,5.17,3576924,-0.385,8.386,4.764,70.77,watch,WATCH,Watch
2026-08-28,VRRM,4.39,3114568,-0.454,-3.728,4.7805,33.64,watch,WATCH,Watch
2026-08-28,UWMC,1.49,12346059,0.676,6.429,1.523,55.13,watch,WATCH,Watch
2026-08-28,TYGO,1.09,485340,-1.802,0.0,1.2445,40.0,watch,WATCH,Watch
2026-08-28,SITC,2.99,1548428,0.336,-2.606,3.0575,47.06,watch,WATCH,Watch
2026-08-28,AISP,2.09,215285,-4.128,-2.791,2.0392,53.66,watch,WATCH,Watch
2026-08-28,NAGE,3.29,498283,2.492,2.492,3.1645,70.69,watch,WATCH,Watch
2026-08-28,AREC,2.4,1553285,-5.512,-10.448,2.591,34.9,watch,WATCH,Watch
2026-08-28,GORO,3.65,1856875,-3.694,14.42,2.8655,74.79,watch,WATCH,Watch
2026-08-28,SPRO,1.2,306162,-0.826,-1.639,1.2208,44.23,watch,WATCH,Watch
2026-08-28,VFF,2.91,673841,1.748,6.985,2.4775,82.14,watch,WATCH,Watch
2026-08-28,ALTO,4.07,963226,-0.489,-7.078,4.3295,43.1,watch,WATCH,Watch
2026-08-28,MDXG,4.5,887015,-0.222,3.926,4.3105,60.75,watch,WATCH,Watch
2026-08-28,GDRX,3.53,1001592,0.57,2.319,3.5598,44.54,watch,WATCH,Watch
2026-08-28,ARKO,4.37,820320,-2.018,-8.0,5.241,39.35,watch,WATCH,Watch
2026-08-28,TBLA,3.78,3012521,0.265,1.34,4.0098,34.23,watch,WATCH,Watch
2026-08-28,HLLY,2.92,499140,-1.684,-5.502,3.02,39.25,watch,WATCH,Watch
2026-08-28,CYH,2.93,1966792,0.0,-2.658,2.952,49.15,watch,WATCH,Watch
2026-08-28,SABR,2.2,3082274,2.804,4.762,2.1337,57.83,watch,WATCH,Watch
2026-08-28,AMPY,4.76,475835,1.062,-1.245,4.5155,68.07,watch,WATCH,Watch
2026-08-28,ABUS,5.07,4768438,-1.934,-2.687,4.8005,67.65,watch,WATCH,Watch
2026-08-31,VRRM,4.42,2233578,0.683,-1.119,4.721,33.02,watch,WATCH,Watch
2026-08-31,UWMC,1.475,6193248,-1.007,3.873,1.5008,45.93,watch,WATCH,Watch
2026-08-31,TYGO,1.055,619443,-3.211,0.476,1.1997,26.51,watch,WATCH,Watch
2026-08-31,SITC,2.94,735460,-1.672,-4.235,3.039,48.0,watch,WATCH,Watch
2026-08-31,AISP,2.155,141961,3.11,0.233,2.057,57.71,watch,WATCH,Watch
2026-08-31,NAGE,3.235,195627,-1.672,0.779,3.1497,62.81,watch,WATCH,Watch
2026-08-31,AREC,2.385,928683,-0.625,-4.98,2.6088,32.3,watch,WATCH,Watch
2026-08-31,GORO,3.66,563882,0.274,3.683,2.9395,75.85,watch,WATCH,Watch
2026-08-31,SPRO,1.205,198394,0.417,-0.823,1.2235,45.28,watch,WATCH,Watch
2026-08-31,VFF,2.915,617845,0.172,7.565,2.5262,80.89,watch,WATCH,Watch
2026-08-31,ALTO,3.9,1840367,-4.177,-6.921,4.2815,39.37,watch,WATCH,Watch
2026-08-31,MDXG,4.495,370461,-0.111,5.269,4.3218,58.54,watch,WATCH,Watch
2026-08-31,GDRX,3.47,452162,-1.7,0.872,3.5753,35.14,watch,WATCH,Watch
2026-08-31,ARKO,4.505,692099,3.089,-4.555,5.0867,53.41,watch,WATCH,Watch
2026-08-31,TBLA,3.715,1636118,-1.72,1.781,3.936,32.62,watch,WATCH,Watch
2026-08-31,HLLY,2.875,433134,-1.541,-4.167,3.0257,38.71,watch,WATCH,Watch
